char,score
"('dumbledore', 'snape')",147
"('dumbledore', 'mcgonagall')",85
"('dumbledore', 'fred')",97
"('dumbledore', 'george')",98
"('dumbledore', 'arthur')",14
"('dumbledore', 'molly')",11
"('dumbledore', 'bill')",32
"('dumbledore', 'fleur')",17
"('dumbledore', 'horace')",3
"('dumbledore', 'umbridge')",86
"('dumbledore', 'blaise')",0
"('dumbledore', 'seamus')",16
"('voldemort', 'sirius')",39
"('voldemort', 'remus')",3
"('voldemort', 'bellatrix')",10
"('voldemort', 'snape')",73
"('voldemort', 'mcgonagall')",36
"('voldemort', 'fred')",34
"('voldemort', 'george')",34
"('voldemort', 'arthur')",7
"('voldemort', 'molly')",4
"('voldemort', 'bill')",10
"('voldemort', 'fleur')",11
"('voldemort', 'horace')",1
"('voldemort', 'umbridge')",32
"('voldemort', 'blaise')",0
"('voldemort', 'seamus')",7
"('sirius', 'remus')",0
"('sirius', 'bellatrix')",10
"('sirius', 'snape')",71
"('sirius', 'mcgonagall')",34
"('sirius', 'fred')",32
"('sirius', 'george')",32
"('sirius', 'arthur')",2
"('sirius', 'molly')",2
"('sirius', 'bill')",12
"('sirius', 'fleur')",8
"('sirius', 'horace')",1
"('sirius', 'umbridge')",24
"('sirius', 'blaise')",1
"('sirius', 'seamus')",4
"('remus', 'bellatrix')",0
"('remus', 'snape')",3
"('remus', 'mcgonagall')",2
"('remus', 'fred')",2
"('remus', 'george')",3
"('remus', 'arthur')",2
"('remus', 'molly')",0
"('remus', 'bill')",0
"('remus', 'fleur')",0
"('remus', 'horace')",0
"('remus', 'umbridge')",3
"('remus', 'blaise')",1
"('remus', 'seamus')",0
"('bellatrix', 'snape')",16
"('bellatrix', 'mcgonagall')",9
"('bellatrix', 'fred')",5
"('bellatrix', 'george')",8
"('bellatrix', 'arthur')",2
"('bellatrix', 'molly')",0
"('bellatrix', 'bill')",1
"('bellatrix', 'fleur')",3
"('bellatrix', 'horace')",0
"('bellatrix', 'umbridge')",7
"('bellatrix', 'blaise')",0
"('bellatrix', 'seamus')",2
"('snape', 'mcgonagall')",49
"('snape', 'fred')",51
"('snape', 'george')",37
"('snape', 'arthur')",5
"('snape', 'molly')",11
"('snape', 'bill')",14
"('snape', 'fleur')",9
"('snape', 'horace')",4
"('snape', 'umbridge')",29
"('snape', 'blaise')",1
"('snape', 'seamus')",8
"('mcgonagall', 'fred')",22
"('mcgonagall', 'george')",21
"('mcgonagall', 'arthur')",4
"('mcgonagall', 'molly')",2
"('mcgonagall', 'bill')",6
"('mcgonagall', 'fleur')",4
"('mcgonagall', 'horace')",0
"('mcgonagall', 'umbridge')",18
"('mcgonagall', 'blaise')",0
"('mcgonagall', 'seamus')",5
"('fred', 'george')",26
"('fred', 'arthur')",5
"('fred', 'molly')",2
"('fred', 'bill')",5
"('fred', 'fleur')",6
"('fred', 'horace')",2
"('fred', 'umbridge')",23
"('fred', 'blaise')",0
"('fred', 'seamus')",10
"('george', 'arthur')",3
"('george', 'molly')",4
"('george', 'bill')",8
"('george', 'fleur')",5
"('george', 'horace')",0
"('george', 'umbridge')",12
"('george', 'blaise')",0
"('george', 'seamus')",7
"('arthur', 'molly')",0
"('arthur', 'bill')",3
"('arthur', 'fleur')",0
"('arthur', 'horace')",0
"('arthur', 'umbridge')",2
"('arthur', 'blaise')",0
"('arthur', 'seamus')",0
"('molly', 'bill')",1
"('molly', 'fleur')",1
"('molly', 'horace')",0
"('molly', 'umbridge')",1
"('molly', 'blaise')",0
"('molly', 'seamus')",1
"('bill', 'fleur')",2
"('bill', 'horace')",0
"('bill', 'umbridge')",8
"('bill', 'blaise')",0
"('bill', 'seamus')",0
"('fleur', 'horace')",0
"('fleur', 'umbridge')",6
"('fleur', 'blaise')",0
"('fleur', 'seamus')",1
"('horace', 'umbridge')",0
"('horace', 'blaise')",0
"('horace', 'seamus')",0
"('umbridge', 'blaise')",0
"('umbridge', 'seamus')",1
"('blaise', 'seamus')",0
