char,score
"('dumbledore', 'fred')",10
"('dumbledore', 'george')",10
"('dumbledore', 'arthur')",2
"('dumbledore', 'molly')",4
"('dumbledore', 'bill')",3
"('dumbledore', 'fleur')",1
"('dumbledore', 'horace')",1
"('dumbledore', 'umbridge')",3
"('dumbledore', 'blaise')",27
"('dumbledore', 'seamus')",3
"('voldemort', 'sirius')",23
"('voldemort', 'remus')",16
"('voldemort', 'bellatrix')",0
"('voldemort', 'snape')",20
"('voldemort', 'mcgonagall')",4
"('voldemort', 'fred')",6
"('voldemort', 'george')",8
"('voldemort', 'arthur')",2
"('voldemort', 'molly')",2
"('voldemort', 'bill')",4
"('voldemort', 'fleur')",0
"('voldemort', 'horace')",0
"('voldemort', 'umbridge')",1
"('voldemort', 'blaise')",8
"('voldemort', 'seamus')",2
"('sirius', 'remus')",24
"('sirius', 'bellatrix')",2
"('sirius', 'snape')",46
"('sirius', 'mcgonagall')",7
"('sirius', 'fred')",14
"('sirius', 'george')",12
"('sirius', 'arthur')",2
"('sirius', 'molly')",7
"('sirius', 'bill')",2
"('sirius', 'fleur')",1
"('sirius', 'horace')",1
"('sirius', 'umbridge')",1
"('sirius', 'blaise')",23
"('sirius', 'seamus')",6
"('remus', 'bellatrix')",4
"('remus', 'snape')",40
"('remus', 'mcgonagall')",5
"('remus', 'fred')",5
"('remus', 'george')",8
"('remus', 'arthur')",2
"('remus', 'molly')",2
"('remus', 'bill')",3
"('remus', 'fleur')",2
"('remus', 'horace')",0
"('remus', 'umbridge')",3
"('remus', 'blaise')",13
"('remus', 'seamus')",3
"('bellatrix', 'snape')",7
"('bellatrix', 'mcgonagall')",4
"('bellatrix', 'fred')",1
"('bellatrix', 'george')",2
"('bellatrix', 'arthur')",0
"('bellatrix', 'molly')",2
"('bellatrix', 'bill')",0
"('bellatrix', 'fleur')",0
"('bellatrix', 'horace')",0
"('bellatrix', 'umbridge')",1
"('bellatrix', 'blaise')",2
"('bellatrix', 'seamus')",2
"('snape', 'mcgonagall')",12
"('snape', 'fred')",3
"('snape', 'george')",12
"('snape', 'arthur')",7
"('snape', 'molly')",9
"('snape', 'bill')",8
"('snape', 'fleur')",0
"('snape', 'horace')",0
"('snape', 'umbridge')",3
"('snape', 'blaise')",23
"('snape', 'seamus')",6
"('mcgonagall', 'fred')",0
"('mcgonagall', 'george')",3
"('mcgonagall', 'arthur')",2
"('mcgonagall', 'molly')",1
"('mcgonagall', 'bill')",2
"('mcgonagall', 'fleur')",0
"('mcgonagall', 'horace')",0
"('mcgonagall', 'umbridge')",0
"('mcgonagall', 'blaise')",3
"('mcgonagall', 'seamus')",2
"('fred', 'george')",2
"('fred', 'arthur')",0
"('fred', 'molly')",1
"('fred', 'bill')",0
"('fred', 'fleur')",1
"('fred', 'horace')",0
"('fred', 'umbridge')",0
"('fred', 'blaise')",5
"('fred', 'seamus')",0
"('george', 'arthur')",1
"('george', 'molly')",2
"('george', 'bill')",0
"('george', 'fleur')",1
"('george', 'horace')",1
"('george', 'umbridge')",1
"('george', 'blaise')",8
"('george', 'seamus')",3
"('arthur', 'molly')",0
"('arthur', 'bill')",0
"('arthur', 'fleur')",1
"('arthur', 'horace')",0
"('arthur', 'umbridge')",0
"('arthur', 'blaise')",2
"('arthur', 'seamus')",0
"('molly', 'bill')",0
"('molly', 'fleur')",0
"('molly', 'horace')",0
"('molly', 'umbridge')",0
"('molly', 'blaise')",6
"('molly', 'seamus')",0
"('bill', 'fleur')",1
"('bill', 'horace')",0
"('bill', 'umbridge')",0
"('bill', 'blaise')",5
"('bill', 'seamus')",1
"('fleur', 'horace')",0
"('fleur', 'umbridge')",0
"('fleur', 'blaise')",2
"('fleur', 'seamus')",1
"('horace', 'umbridge')",0
"('horace', 'blaise')",0
"('horace', 'seamus')",0
"('umbridge', 'blaise')",3
"('umbridge', 'seamus')",1
"('blaise', 'seamus')",2
